assessmentId,scientificName,internalTaxonId,doi
115932548,Myristica malabarica,31219,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T31219A115932548.en
115932944,Aglaia malabarica,36652,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T36652A115932944.en
117645817,Elaeocarpus recurvatus,33642,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T33642A117645817.en
117894247,Canarium strictum,117894243,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T117894243A117894247.en
119040796,Syzygium occidentale,31199,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31199A119040796.en
119040966,Syzygium parameswaranii,38821,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T38821A119040966.en
119044958,Vateria macrocarpa,31170,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31170A119044958.en
119048739,Viburnum hebanthum,119048736,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T119048736A119048739.en
119243088,Indirana paramakri,119243084,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243084A119243088.en
119243164,Indirana tysoni,119243159,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243159A119243164.en
119243178,Indirana yadera,119243173,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T119243173A119243178.en
129336875,Palaquium polyanthum,129335824,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T129335824A129336875.en
138500009,Actinodaphne bourneae,31220,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31220A138500009.en
138502123,Litsea leiantha,33497,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T33497A138502123.en
138508872,Actinodaphne campanulata,62565,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T62565A138508872.en
145297168,Beilschmiedia aborensis,144052276,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144052276A145297168.en
145297198,Beilschmiedia andamanensis,144053300,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144053300A145297198.en
145297273,Beilschmiedia brandisii,144056383,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T144056383A145297273.en
145297963,Beilschmiedia sikkimensis,145290519,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145290519A145297963.en
145415813,Cinnamomum bhaskarii,145301615,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301615A145415813.en
145415823,Cinnamomum bishnupadae,145301728,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301728A145415823.en
145415833,Cinnamomum blandfordii,145301965,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145301965A145415833.en
145416111,Cinnamomum kingdon-wardii,145310645,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145310645A145416111.en
145416166,Cinnamomum lohitensis,145311979,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145311979A145416166.en
145416471,Cinnamomum sanjappae,145344026,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145344026A145416471.en
145416576,Cinnamomum suvrae,145404323,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T145404323A145416576.en
147294060,Euphorbia vajravelui,37611,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T37611A147294060.en
149680186,Mysticellus franki,149680126,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T149680126A149680186.en
149682627,Leptobrachella lateralis,149682598,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T149682598A149682627.en
149812631,Syzygium palghatense,31200,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T31200A149812631.en
149813923,Syzygium bourdillonii,32866,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T32866A149813923.en
150087543,Megophrys flavipunctata,150087536,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087536A150087543.en
150087783,Megophrys himalayana,150087712,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087712A150087783.en
150087885,Megophrys oreocrypta,150087877,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087877A150087885.en
150087902,Megophrys periosa,150087897,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150087897A150087902.en
150088664,Microhyla laterite,150088659,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T150088659A150088664.en
150219899,Alseodaphne owdenii,150213910,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T150213910A150219899.en
150219924,Lindera melastomacea,150215092,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T150215092A150219924.en
153622583,Litsea membranifolia,152958245,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T152958245A153622583.en
153622783,Litsea coelestis,153112765,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T153112765A153622783.en
153622868,Litsea oleoides,153115088,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153115088A153622868.en
153622903,Litsea assamica,153116010,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153116010A153622903.en
153622908,Litsea mishmiensis,153116061,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T153116061A153622908.en
156580466,Hylarana aurantiaca,209668480,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T209668480A156580466.en
156940901,Syzygium avene,155993997,https://dx.doi.org/10.2305/IUCN.UK.2024-1.RLTS.T155993997A156940901.en
157563361,Actinodaphne andamanica,157146680,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T157146680A157563361.en
157563506,Actinodaphne longipes,157150683,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T157150683A157563506.en
158892410,Vitex wimberleyi,158847184,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T158847184A158892410.en
159054357,Callicarpa moldenkeana,159051467,https://dx.doi.org/10.2305/IUCN.UK.2024-2.RLTS.T159051467A159054357.en
159443752,Cryptocarya andamanica,159074166,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159074166A159443752.en
159443782,Cryptocarya balakrishnanii,159079094,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159079094A159443782.en
159443812,Cryptocarya burkillii,159079733,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159079733A159443812.en
159443837,Cryptocarya cavei,159080036,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159080036A159443837.en
159443877,Cryptocarya dekae,159080601,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159080601A159443877.en
159443962,Cryptocarya insularis,159103471,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159103471A159443962.en
159444007,Cryptocarya lawsonii,159104035,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159104035A159444007.en
159444152,Cryptocarya simonsii,159121187,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T159121187A159444152.en
166095955,Ghatophryne ornata,54478,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T54478A166095955.en
166096204,Duttaphrynus beddomii,54584,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T54584A166096204.en
166096349,Duttaphrynus brevirostris,54593,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T54593A166096349.en
166096562,Beduka koynayensis,54684,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T54684A166096562.en
166098755,Amolops chakrataensis,58203,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58203A166098755.en
166099369,Minervarya keralensis,58273,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58273A166099369.en
166100666,Indirana beddomii,197660098,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T197660098A166100666.en
166101287,Walkerana leptodactyla,58312,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58312A166101287.en
166101476,Walkerana phrynoderma,58314,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58314A166101476.en
166102173,Micrixalus elegans,58377,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58377A166102173.en
166102249,Micrixalus gadgili,58379,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58379A166102249.en
166102352,Micrixalus phyllophilus,58383,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58383A166102352.en
166102455,Micrixalus silvaticus,58385,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58385A166102455.en
166102542,Micrixalus thampii,58387,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58387A166102542.en
166102719,Nyctibatrachus aliciae,58395,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58395A166102719.en
166102930,Nyctibatrachus karnatakaensis,58399,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58399A166102930.en
166103114,Nyctibatrachus major,58401,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58401A166103114.en
166103238,Nyctibatrachus minor,58402,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58402A166103238.en
166103339,Nyctibatrachus sanctipalustris,58403,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58403A166103339.en
166103461,Nyctibatrachus sylvaticus,58404,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58404A166103461.en
166104490,Ingerana charlesdarwini,58571,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58571A166104490.en
166105738,Chirixalus dudhwaensis,58788,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58788A166105738.en
166106548,Raorchestes chalazodes,58829,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58829A166106548.en
166106955,Raorchestes glandulosus,58847,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58847A166106955.en
166107068,Raorchestes griet,58849,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58849A166107068.en
166107469,Philautus namdaphaensis,58876,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58876A166107469.en
166107945,Raorchestes signatus,58903,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58903A166107945.en
166108604,Raorchestes tinniens,58926,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58926A166108604.en
166108743,Raorchestes travancoricus,58927,https://dx.doi.org/10.2305/IUCN.UK.2023-1.RLTS.T58927A166108743.en
