assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Gujarat Biodiversity Gene Bank,,,,,2010,72.6333,23.1833
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Habit: tree; Height/ Length: 5-25 m; Fruit: light green when young.,,,TAIF,PreservedSpecimen,2014,99.123333,23.617778
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Iron tree Mesua ferrea, the Sri Lankan ironwood, Indian rose chestnut, or cobra's saffron, is a species in the family Calophyllaceae. This slow-growing tree is named after the heaviness and hardness of its timber. It is widely cultivated as an ornamental",,,iNaturalist,HumanObservation,2019,80.64,7.293413
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,(Iron wood tree). The flowers are astringent and stomachic. Seeds yield a valuable oil.,,,BARO,PreservedSpecimen,1982,73.498993,20.754217
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Iron wood tree the national tree in Sri Lanka,,,iNaturalist,HumanObservation,2018,79.863121,6.914894
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Leaves much smaller than Mesua ferrea leaves,,,iNaturalist,HumanObservation,2023,76.928797,10.360109
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Low Evergreen Forest,,,HIFP,PreservedSpecimen,1993,75.1028,14.9392
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Low Evergreen Forest,,,HIFP,PreservedSpecimen,1993,75.6611,13.7083
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,Low Evergreen Forest,,,HIFP,PreservedSpecimen,1993,75.6611,14.9392
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,mes fer,,,iNaturalist,HumanObservation,2022,76.996483,10.366966
61987933,61987931,Mesua ferrea,1,1,1,Devika M.A. & Amitha Bachan Kh,2023,"Amitha Bachan K.H. and Devika, M.A.",Extant (resident),,,"Mesua ferrea internal transcribed spacer 1, partial sequence 5.8S ribosomal RNA gene, complete sequence and internal transcribed spacer 2, partial sequence.",,,,,2016,73.72,17.03
