internalTaxonId,latitude,longitude
175221,8.671981,77.18391
175221,8.67198,77.18395
175221,8.492711,77.38126
175221,8.492712,77.38124
175221,8.492713,77.38127
175221,8.492712,77.38128
175221,10.09371,76.9591
175221,10.09361,76.95915
175221,10.09369,76.95918
175221,10.05254,76.99326
175221,10.12106,76.99863
175221,10.12811,77.00591
175221,9.787464,77.15826
175221,8.671989,77.18394
175221,8.681953,77.19013
61780183,11.601628,92.683613
61780183,10.683605,92.534939
61780183,11.797699,92.728943
61780183,11.664644,92.735545
61987623,21.67206,106.37986
61987623,14.433333,101.366667
61987623,14.433333,101.366667
61987623,23.78111138,89.63912494
61987623,26.42504726,91.9625522
61987623,11.94939272,92.63568438
61987623,19.38792766,93.48760112
61987623,7.0163908,93.82901738
61987931,6.420315,80.389709
61987931,14.939194,74.743222
61987931,8.932883,77.271463
61987931,11.170318,76.57814
61987931,13.708333,75.102778
61987931,12.580756,75.538703
61987931,23.1833,72.6333
61987931,23.617778,99.123333
61987931,7.293413,80.64
61987931,20.754217,73.498993
61987931,6.914894,79.863121
61987931,10.360109,76.928797
61987931,14.9392,75.1028
61987931,13.7083,75.6611
61987931,14.9392,75.6611
61987931,10.366966,76.996483
61987931,17.03,73.72
61987931,16.67,74.25
61987931,24.01,97.85
61987931,13.02,74.97
61987931,8.647222,77.25
61987931,8.519444,77.333333
61987931,9.1875,77.1556
61987931,8.373611,77.431944
61987931,6.912406,79.862377
61987931,10.48095,76.831325
61987931,10.348778,76.895241
61987931,10.312675,76.91016
61987931,10.338319,76.967501
61987931,10.397607,76.989666
61987931,10.371668,76.991853
61987931,10.350881,76.934518
61987931,10.252168,76.940389
61987931,10.29939,76.89109
61987931,10.29858,76.89543
61987931,10.31311,76.91117
61987931,10.33753,76.96959
61987931,10.39876,76.98795
61987931,10.39653,76.98853
61987931,10.36418,76.99762
61987931,10.36352,76.99988
61987931,8.638383,77.271664
61987931,8.630313,77.273983
61987931,8.624297,77.275942
61987931,8.525881,77.444858
61987931,8.524337,77.44528
61987931,8.525236,77.446594
61987931,8.965265,77.069964
61987931,10.408027,76.933763
61987931,7.657916,80.237643
61987931,8.346565,80.374971
61987931,6.989785,80.427089
61987931,23.18,72.63
61987931,26.15,91.66
61987931,25.721589,97.947859
61987931,22.02,100.8
61987931,14.0,98.5
61987931,26.666667,97.333333
61987931,7.60806,80.70472
61987931,-7.50278,111.26306
61987931,8.626822,77.355822
61987931,10.391247,77.040854
61987931,13.543989,75.092556
61987931,13.225,75.325
61987931,13.5,75.325
61987931,13.191691,75.335097
61987931,8.64722,76.475
61987931,11.767041,92.75053
61987931,12.55,75.6667
61987931,22.02,100.8
61987931,24.02,97.85
61987931,24.82,98.3
61987931,21.48,101.57
61987931,7.066376,80.042948
61987931,8.695128,77.262089
61987931,10.295271,76.951248
61987931,26.678877,94.358472
61987931,16.651753,73.511873
61987931,3.125346,101.649676
61987931,2.831645,101.661882
61987931,16.476008,102.822165
61987931,16.072001,73.653727
61987931,5.438377,100.289897
61987931,3.131071,101.657845
61987931,13.478885,75.017516
61987931,12.922851,75.655721
61987931,13.078948,77.577901
61987931,21.345826,95.184087
61987931,10.304457,76.424458
61987931,6.892803,79.929655
61987931,6.89278,79.929658
61987931,26.696484,93.977676
61987931,5.361471,100.305891
61987931,3.098936,101.412025
61987931,16.942058,73.373817
61987931,10.302191,76.427384
61987931,10.307999,76.901217
61987931,10.347517,76.901442
61987931,23.672888,91.320328
61987931,26.629933,93.727755
61987931,21.929325,101.254837
61987931,3.190848,113.045582
61987931,18.978451,72.836926
61987931,10.302143,76.427384
61987931,10.317714,76.914234
61987931,10.359942,76.934045
61987931,10.335599,76.962686
61987931,10.338322,76.963581
61987931,10.338524,76.96367
61987931,10.336287,76.965897
61987931,10.350507,76.974567
61987931,10.378064,76.993286
61987931,23.659325,91.294395
61987931,26.738053,94.200555
61987931,5.361284,100.304417
61987931,2.944542,101.694563
61987931,1.301659,103.76672
61987931,21.957355,100.452547
61987931,22.01071,100.799775
61987931,25.885664,99.371048
61987931,22.02,100.8
61987931,22.02,100.8
61987931,23.55,99.4
61987931,21.48,101.57
61987931,24.02,97.85
61987931,19.33333,98.83333
61987931,9.33333,98.41667
61987931,7.299712,80.640945
61987931,6.41186,80.455971
61987931,7.205685,79.910263
61987931,10.358025,76.890285
61987931,10.347891,76.892543
