internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
73787369,Raorchestes echinatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Raorchestes,echinatus,,,,,"Vijayakumar, Dinesh, Prabhu &amp; Shanker, 2014 ",
73788607,Hylarana flavescens,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,flavescens,,,,,(Jerdon 1853),Biju<em> et al</em>. (2014)&#160;recognized the species as distinct from&#160;<em>Indirana temporalis.</em>
73788764,Hylarana urbis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,urbis,,,,,"Biju, Garg, Mahony, Wijayathilaka, Senevirathne &amp; Meggaskumbara, 2014",
73788782,Hylarana caesari,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,caesari,,,,,"Biju, Mahony, Wijayathilaka, Seneviranthne &amp; Meegaskumbura, 2014",It is possible that there is another species existing under this concept in the northern Western Ghats (A.D. Padhye pers. comm. September 2020).
73788833,Hylarana magna,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Hylarana,magna,,,,,"Biju, Garg, Mahony, Wijayathilaka, Seneviranthne &amp; Meegaskumbura, 2014",
73959431,Micrixalus kurichiyari,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,kurichiyari,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014 ",
73960020,Micrixalus niluvasei,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,niluvasei,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",
73960040,Micrixalus sairandhri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,sairandhri,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",
73961281,Micrixalus spelunca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,spelunca,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",
73963691,Micrixalus uttaraghati,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICRIXALIDAE,Micrixalus,uttaraghati,,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",
