internalTaxonId,habitatCode,habitatName,majorImportance,season,suitability
73960040,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73961281,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73961281,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73963691,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73963691,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73964539,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73964539,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73964539,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73965400,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73965400,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73965533,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73965533,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967847,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73967847,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967847,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73967876,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,Resident,Suitable
73967876,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967876,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73967915,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967915,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73971314,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73971314,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73972049,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73972049,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73972049,1.8,Forest - Subtropical/Tropical Swamp,Yes,Resident,Suitable
73972645,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73972645,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
191004,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
191004,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
191004,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Yes,Resident,Suitable
189814,4.7,Grassland - Subtropical/Tropical High Altitude,Yes,Resident,Suitable
87739329,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
87739329,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
87739247,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
87739247,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
87739247,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
112690948,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
112690948,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
112690948,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691330,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
112691330,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691501,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
112691501,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691545,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
112691545,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
112691545,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
36652,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
31199,1.6,Forest - Subtropical/Tropical Moist Lowland,No,Resident,Suitable
31199,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
38821,1.9,Forest - Subtropical/Tropical Moist Montane,No,Resident,Suitable
31170,1.6,Forest - Subtropical/Tropical Moist Lowland,,Resident,Suitable
119243084,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243084,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
119243084,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
119243084,14.4,Artificial/Terrestrial - Rural Gardens,,Resident,Suitable
119243084,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
119243159,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243159,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
119243159,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
119243173,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
119243173,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
119243173,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
119243173,14.3,Artificial/Terrestrial - Plantations,,Resident,Suitable
119243173,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
31220,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
33497,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
62565,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
62565,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
144052276,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
144053300,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
144056383,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145290519,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145290519,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
145301615,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145301728,1.4,Forest - Temperate,,,Suitable
145301965,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145301965,1.5,Forest - Subtropical/Tropical Dry,,,Suitable
145310645,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145311979,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
145344026,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
145404323,1.9,Forest - Subtropical/Tropical Moist Montane,,,Suitable
37611,1.6,Forest - Subtropical/Tropical Moist Lowland,,,Suitable
37611,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,,,Suitable
149680126,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
149680126,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
149682598,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
149682598,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
149682598,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Yes,Resident,Suitable
31200,1.9,Forest - Subtropical/Tropical Moist Montane,No,Resident,Suitable
32866,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
150087536,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,No,Resident,Suitable
150087536,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
