assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
73788625,73788607,Hylarana flavescens,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73788770,73788764,Hylarana urbis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73788770,73788764,Hylarana urbis,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Yes,Resident,Suitable
73788770,73788764,Hylarana urbis,14.5,Artificial/Terrestrial - Urban Areas,,Resident,Marginal
73788770,73788764,Hylarana urbis,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
73788770,73788764,Hylarana urbis,14.1,Artificial/Terrestrial - Arable Land,,Resident,Marginal
73788787,73788782,Hylarana caesari,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73788787,73788782,Hylarana caesari,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73788787,73788782,Hylarana caesari,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73788842,73788833,Hylarana magna,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73788842,73788833,Hylarana magna,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73788842,73788833,Hylarana magna,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73788842,73788833,Hylarana magna,14.3,Artificial/Terrestrial - Plantations,,Resident,Marginal
73959496,73959431,Micrixalus kurichiyari,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73959496,73959431,Micrixalus kurichiyari,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73960024,73960020,Micrixalus niluvasei,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73960024,73960020,Micrixalus niluvasei,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73960044,73960040,Micrixalus sairandhri,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73960044,73960040,Micrixalus sairandhri,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73962058,73961281,Micrixalus spelunca,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73962058,73961281,Micrixalus spelunca,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73963701,73963691,Micrixalus uttaraghati,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73963701,73963691,Micrixalus uttaraghati,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73964543,73964539,Micrixalus adonis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73964543,73964539,Micrixalus adonis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73964543,73964539,Micrixalus adonis,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73965406,73965400,Micrixalus mallani,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73965406,73965400,Micrixalus mallani,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73965523,73965533,Micrixalus nudis,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73965523,73965533,Micrixalus nudis,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967869,73967847,Micrixalus sali,1.6,Forest - Subtropical/Tropical Moist Lowland,Yes,Resident,Suitable
73967869,73967847,Micrixalus sali,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Yes,Resident,Suitable
73967869,73967847,Micrixalus sali,1.9,Forest - Subtropical/Tropical Moist Montane,Yes,Resident,Suitable
73967908,73967876,Micrixalus frigidus,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,Resident,Suitable
