assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
73787322,73787038,Raorchestes blandus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,blandus,,,,"Vijayakumar, Dinesh, Prabhu &amp; Shanker, 2014 ",Endangered,B1ab(iii),3.1,Decreasing,Global
73787384,73787369,Raorchestes echinatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,echinatus,,,,"Vijayakumar, Dinesh, Prabhu &amp; Shanker, 2014 ",Vulnerable,D2,3.1,Unknown,Global
73788625,73788607,Hylarana flavescens,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Hylarana,flavescens,,,,(Jerdon 1853),Vulnerable,B1ab(iii),3.1,Decreasing,Global
73788770,73788764,Hylarana urbis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Hylarana,urbis,,,,"Biju, Garg, Mahony, Wijayathilaka, Senevirathne &amp; Meggaskumbara, 2014",Vulnerable,B1ab(iii),3.1,Decreasing,Global
73788787,73788782,Hylarana caesari,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Hylarana,caesari,,,,"Biju, Mahony, Wijayathilaka, Seneviranthne &amp; Meegaskumbura, 2014",Vulnerable,B1ab(iii),3.1,Decreasing,Global
73788842,73788833,Hylarana magna,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Hylarana,magna,,,,"Biju, Garg, Mahony, Wijayathilaka, Seneviranthne &amp; Meegaskumbura, 2014",Vulnerable,B1ab(iii),3.1,Decreasing,Global
73959496,73959431,Micrixalus kurichiyari,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,kurichiyari,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014 ",Endangered,B1ab(iii),3.1,Decreasing,Global
73960024,73960020,Micrixalus niluvasei,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,niluvasei,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73960044,73960040,Micrixalus sairandhri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,sairandhri,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73962058,73961281,Micrixalus spelunca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,spelunca,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
73963701,73963691,Micrixalus uttaraghati,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,uttaraghati,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73964543,73964539,Micrixalus adonis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,adonis,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014 ",Endangered,B1ab(iii),3.1,Decreasing,Global
73965406,73965400,Micrixalus mallani,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,mallani,,,,"Biju, Garg, Gururaja, Shouche &amp; Walukar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73965523,73965533,Micrixalus nudis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,nudis,,,,"Pillai, 1978",Endangered,B1ab(iii),3.1,Decreasing,Global
73967869,73967847,Micrixalus sali,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,sali,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73967908,73967876,Micrixalus frigidus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,frigidus,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73967921,73967915,Micrixalus nigraventris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,nigraventris,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",Endangered,B1ab(iii),3.1,Decreasing,Global
73971896,73971314,Micrixalus specca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,specca,,,,"Biju, Garg, Gururaja, Shouche &amp; Walujkar, 2014",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
73971902,73972049,Micrixalus fuscus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,fuscus,,,,"(Boulenger, 1882)",Endangered,B1ab(iii),3.1,Decreasing,Global
73972656,73972645,Micrixalus herrei,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICRIXALIDAE,Micrixalus,herrei,,,,"Myers, 1942",Endangered,B1ab(iii),3.1,Decreasing,Global
86896338,191004,Minervarya chilapata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Minervarya,chilapata,,,,"Ohler, Deuti, Grosjean, Paul, Ayyaswamy, Ahmed &amp; Dutta, 2009",Vulnerable,B1ab(iii),3.1,Decreasing,Global
86897335,189814,Raorchestes resplendens,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,resplendens,,,,"Biju, Shouche, Dubois, Dutta, &amp; Bossuyt, 2010",Endangered,B1ab(iii),3.1,Decreasing,Global
87721492,87739329,Raorchestes flaviventris,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,flaviventris,,,,"(Boulenger, 1882)",Vulnerable,B1ab(iii),3.1,Decreasing,Global
87739274,87739247,Ghatixalus magnus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Ghatixalus,magnus,,,,"Abraham, Jobin, Cyriac, Zachariah, Raju &amp; Zachariah, 2015",Vulnerable,B1ab(iii),3.1,Decreasing,Global
112691249,112690948,Nyctibatrachus athirappillyensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,athirappillyensis,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",Endangered,B1ab(iii),3.1,Decreasing,Global
112691361,112691330,Nyctibatrachus pulivijayani,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,pulivijayani,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",Endangered,B1ab(iii),3.1,Decreasing,Global
112691514,112691501,Nyctibatrachus sabarimalai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,sabarimalai,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",Endangered,B1ab(iii),3.1,Decreasing,Global
112691564,112691545,Nyctibatrachus webilla,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,NYCTIBATRACHIDAE,Nyctibatrachus,webilla,,,,"Garg, Suyesh, Sukesan &amp; Biju, 2017",Endangered,B1ab(iii),3.1,Decreasing,Global
115932401,253632034,Syzygium stocksii,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,stocksii,,,,(Duthie) Gamble,Vulnerable,A2c,3.1,Increasing,Global
115932548,31219,Myristica malabarica,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MYRISTICACEAE,Myristica,malabarica,,,,Lam.,Vulnerable,A2c,3.1,Decreasing,Global
115932944,36652,Aglaia malabarica,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,MELIACEAE,Aglaia,malabarica,,,,Sasidh.,Endangered,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Decreasing,Global
117645817,33642,Elaeocarpus recurvatus,PLANTAE,TRACHEOPHYTA,OXALIDALES,MAGNOLIOPSIDA,ELAEOCARPACEAE,Elaeocarpus,recurvatus,,,,Corner,Endangered,A2c,3.1,Decreasing,Global
117894247,117894243,Canarium strictum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,BURSERACEAE,Canarium,strictum,,,,Roxb.,Endangered,A2cd,3.1,Decreasing,Global
119040796,31199,Syzygium occidentale,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,occidentale,,,,(Bourd.) Gandhi,Endangered,"A2c+4c; B2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
119040966,38821,Syzygium parameswaranii,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,MYRTACEAE,Syzygium,parameswaranii,,,,M.Mohanan &amp; A.N.Henry,Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(i)",3.1,Decreasing,Global
119044958,31170,Vateria macrocarpa,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,DIPTEROCARPACEAE,Vateria,macrocarpa,,,,B.L.Gupta,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
119048739,119048736,Viburnum hebanthum,PLANTAE,TRACHEOPHYTA,DIPSACALES,MAGNOLIOPSIDA,VIBURNACEAE,Viburnum,hebanthum,,,,Wight &amp; Arn.,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
119243088,119243084,Indirana paramakri,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIXALIDAE,Indirana,paramakri,,,,"Garg &amp; Biju, 2016",Endangered,B1ab(iii),3.1,Decreasing,Global
119243164,119243159,Indirana tysoni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIXALIDAE,Indirana,tysoni,,,,"Dahanukar, Modak, Krutha, Nameer, Padhye &amp; Molur, 2016",Vulnerable,B1ab(iii),3.1,Decreasing,Global
119243178,119243173,Indirana yadera,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIXALIDAE,Indirana,yadera,,,,"Dahanukar, Modak, Krutha, Nameer, Padhye &amp; Molur, 2016",Vulnerable,B1ab(iii),3.1,Decreasing,Global
129336875,129335824,Palaquium polyanthum,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,SAPOTACEAE,Palaquium,polyanthum,,,,(Wall. ex G.Don) Baill.,Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
138500009,31220,Actinodaphne bourneae,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Actinodaphne,bourneae,,,,Gamble,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
138502123,33497,Litsea leiantha,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Litsea,leiantha,,,,(Kurz) Hook.f.,Endangered,B2ab(iii),3.1,Unknown,Global
138508872,62565,Actinodaphne campanulata,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Actinodaphne,campanulata,,,,Hook.f.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
145297168,144052276,Beilschmiedia aborensis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Beilschmiedia,aborensis,,,,Kosterm.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
145297198,144053300,Beilschmiedia andamanensis,PLANTAE,TRACHEOPHYTA,LAURALES,MAGNOLIOPSIDA,LAURACEAE,Beilschmiedia,andamanensis,,,,M.Gangop.,Vulnerable,D2,3.1,Unknown,Global
