assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
256426742,2888,Bos javanicus,15,Sport hunting/specimen collecting,,true,,
257323525,22693464,Calidris falcinellus,1,Food - human,,true,,true
258108195,22685513,Belocercus longicaudus,13,"Pets/display animals, horticulture",true,true,,true
259343689,70205537,Arctonyx collaris,16,Establishing ex-situ production *,,,,
259343689,70205537,Arctonyx collaris,1,Food - human,,,,true
259357017,22037,Trachypithecus geei,13,"Pets/display animals, horticulture",,true,,true
259357527,22041,Trachypithecus pileatus,1,Food - human,,true,,true
259357527,22041,Trachypithecus pileatus,13,"Pets/display animals, horticulture",,true,,true
259357527,22041,Trachypithecus pileatus,3,Medicine - human & veterinary,,true,,true
261429932,30864,Diospyros crumenata,1,Food - human,,,,true
261429932,30864,Diospyros crumenata,2,Food - animal,,,,true
266696959,15951,Panthera leo,10,"Wearing apparel, accessories",,,,true
266696959,15951,Panthera leo,16,Establishing ex-situ production *,,true,,
266696959,15951,Panthera leo,15,Sport hunting/specimen collecting,true,true,,
266696959,15951,Panthera leo,12,"Handicrafts, jewellery, etc.",true,true,,true
266696959,15951,Panthera leo,3,Medicine - human & veterinary,true,true,,true
